id,platform,comment,likes
104, 微博,圈内互相吐槽踩雷经历，分享避坑经验氛围十分暖心,17
105, 小红书,定期分享娃衣开箱内容，深度融入温馨和谐的娃圈,28
106, 小红书,聚会搭配新年限定娃衣打卡，氛围感十足体验感极佳,33
107, 微博,遇见热爱复古风娃衣的同好，每日交流穿搭乐趣十足,20
108, 微博,社群发起穿搭投票活动，调动圈内好友互动积极性,19
109, 小红书,线下携手制作娃娃小配饰，小众爱好被理解格外暖心,26
110, 小红书,日常穿搭动态收获大批点赞，顺利结识众多圈内好友,35
111, 微博,从萌新慢慢成长，能够给新人分享实用穿搭经验,23
112, 微博,聚会搭配洛丽塔风格娃衣，好友之间互相拍照留念,31
113, 小红书,社群获取娃衣定制渠道，和好友探讨各类定制细节,18
114, 小红书,线上闲聊分享新款娃衣，爱好相同再也不会觉得孤单,21
115, 微博,娃娃创意穿搭登上圈内平台，满满的成就感油然而生,44
116, 微博,和同好探讨娃衣原创设计，新颖想法收获众人夸赞,27
117, 小红书,打卡线下娃衣市集，深入交流彻底融入娃娃爱好圈子,38
118, 小红书,分享实用娃衣清洗技巧，帮助圈内好友解决实际难题,16
119, 微博,线下搭配情侣款娃娃服饰打卡，氛围感浪漫又治愈,29
120, 微博,全网结识海量娃圈爱好者，归属感与认同感双重拉满,25
121, 小红书,学院风娃衣聚会穿搭出圈，好友一起交流探讨超欢乐,22
122, 小红书,晒出珍藏绝版娃衣，和资深玩家交流收藏心得,30
123, 微博,积极参与圈内福利活动，日常互动拉近好友距离,17
124, 微博,线下合力为娃娃打造造型，拍摄海量精美合照,34
125, 小红书,分享娃衣收纳小妙招，实用技巧收获大量点赞认可,19
126, 小红书,找到亲子款娃衣同好，互相交流搭配思路十分合拍,24
127, 微博,耐心解答新手购物疑问，尽力做好圈内暖心前辈,20
128, 微博,聚会穿搭获评最佳造型，在圈子里收获满满认可度,41
129, 小红书,长期混迹娃圈社群，日常畅谈爱好情绪得以舒缓,28
130, 小红书,线下互换闲置娃衣款式，轻松满足彼此穿搭需求,32
131, 微博,这款娃衣设计精致吸睛，细节做工到位开箱十分惊艳,55
132, 微博,设计风格独具一格，价格偏高但颜值出众十分值得入手,43
133, 小红书,同价位里这款娃衣做工最优，颜值质感双双在线,39
134, 小红书,版型配色恰到好处，独特设计完美契合个人审美喜好,47
135, 微博,小众创意款式颜值超高，为心仪审美买单心甘情愿,36
136, 微博,国风款式娃衣韵味十足，颜值品质兼备性价比超高,26
137, 小红书,复古款式高级耐看，颜值出众贵一点也特别划算,31
138, 小红书,工装风娃衣潮流酷炫，颜值在线高价入手依旧很值得,22
139, 微博,简约大气设计耐看百搭，细节处理严谨十分贴心,18
140, 微博,撞色款式新颖亮眼，面料质感上乘整体穿搭超惊艳,29
141, 小红书,款式跳出常规设计思路，创意十足轻松俘获人心,40
142, 小红书,小众款式不易撞款，做工精细收藏价值极高,24
143, 微博,娃娃专属小配饰精致小巧，整体穿搭氛围感直接拉满,20
144, 微博,款式层次丰富设计用心，开箱之后迫不及待上身试穿,33
145, 小红书,商家发货速度太慢，下单许久迟迟不发货体验很差,12
146, 小红书,实物和宣传图色差严重，面料粗糙做工粗糙严重踩雷,10
147, 微博,市面上盗版娃衣泛滥，做工劣质低价售卖扰乱市场,15
148, 微博,商品存在破损瑕疵，售后处理拖沓维权过程十分艰难,11
149, 小红书,面料与描述严重不符，质地坚硬粗糙退货还需自行承担运费,9
150, 小红书,娃衣尺码做工不标准，版型歪斜劣质产品完全不值定价,13
