1.您的出生年份是,2.您是否拥有棉花娃娃并为其购买过娃衣？ ,3.您平均每月在娃衣上的消费金额约为 ,4.您获取娃衣信息的三大主要渠道是 ,5.请评估您对以下娃衣购买决策因素的同意程度 —我主要因为娃衣的独特设计和审美风格而购买,面料质感和工艺质量是我考量的首要因素,价格合理性显著影响我的购买决策,“限量”或“绝版”标签会极大提升我的购买欲,作者/设计师的知名度会影响我的选择,6.请评估您对以下消费行为模式的同意程度 —我通常是计划性购买（如为特定搭配或场景）,我常因“一见钟情”的情感冲动而购买,我倾向于收藏完整系列或特定作者的娃衣,我会跟随社群流行趋势选择娃衣,我享受在二手市场“淘”稀有娃衣的过程,7.请评估以下活动带给您的情感满足程度 —浏览、挑选娃衣的过程,收到娃衣包裹并开箱的瞬间,为娃娃试穿、搭配不同娃衣,拍摄并分享娃娃的穿搭照片,整理、收纳娃衣收藏,8.请评估通过娃衣消费，您在多大程度上获得了以下体验 —压力释放与情绪放松,创造美感的成就感,情感陪伴的温暖感,掌控小世界的安全感,暂时逃离现实的抽离感,9.当您情绪低落或压力较大时，娃衣相关活动对您的情绪调节作用如何？ ,10.请评估您对以下自我表达认同说法的同意程度 —我选择的娃衣风格，代表了我个人的审美品味,通过娃衣搭配，我能表达我的个性与态度,娃衣选择反映了我性格中的某些特点,我的娃衣收藏体现了我对生活的态度和价值观,娃衣承载着我理想自我或渴望的形象,11.请评估您对以下群体归属认同说法的同意程度 —拥有特定风格的娃衣，让我感到属于某个群体,在娃圈社群中交流娃衣，让我获得了归属感,我对娃衣的知识和收藏，让我在圈内获得了认可,我为自己的娃衣收藏感到自豪,“娃衣爱好者”是我重要的身份标签之一,12.您在娃衣相关社群中的参与频率是 ,13.您认为娃衣与娃娃的关系，最像以下哪种情感隐喻？ ,14.请简要描述一次让您印象最深刻的娃衣消费经历 ,15.您的性别 ,16.您目前的状态 ,17.您所在的城市级别 ,18.您的每月可支配收入（或生活费）约为 
27-30岁,是,C. 301-500元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋E. 电商平台算法推荐┋F. 朋友/同好推荐,非常同意,一般,不同意,一般,一般,不同意,非常同意,一般,同意,一般,极大满足,极大满足,比较满足,一般,极大满足,经常获得,总是获得,经常获得,总是获得,有时获得,A. 非常有效，是我的主要调节方式之一,同意,非常同意,非常同意,同意,一般,同意,同意,非常同意,非常同意,同意,B. 每周数次,B. 艺术家为作品赋予灵魂（创作表达型）,无,B. 女,B. 全职工作者,A. 一线城市（如北上广深）,C. 5001-8000元
23-26岁,是,D. 501-1000元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）,一般,同意,一般,不同意,一般,一般,一般,一般,一般,同意,一般,极大满足,比较满足,极大满足,极大满足,总是获得,总是获得,经常获得,经常获得,经常获得,C. 效果一般，仅是休闲活动之一,非常同意,不同意,同意,非常同意,同意,一般,同意,同意,一般,非常同意,B. 每周数次,E. 自我内心的外在投射（自我延伸型）,无,B. 女,A. 在校学生,A. 一线城市（如北上广深）,B. 2001-5000元
23-26岁,是,D. 501-1000元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋E. 电商平台算法推荐┋F. 朋友/同好推荐,同意,非常同意,一般,非常同意,非常不同意,一般,同意,非常不同意,同意,一般,比较满足,比较满足,比较满足,比较满足,比较满足,经常获得,经常获得,经常获得,经常获得,有时获得,B. 比较有效，能一定程度上改善情绪,同意,非常同意,同意,非常同意,一般,一般,不同意,同意,同意,非常不同意,B. 每周数次,E. 自我内心的外在投射（自我延伸型）,无,B. 女,A. 在校学生,B. 新一线/二线城市,A. 2000元及以下
27-30岁,是,C. 301-500元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋E. 电商平台算法推荐┋F. 朋友/同好推荐,一般,非常同意,同意,非常同意,非常同意,不同意,非常同意,一般,一般,一般,较少满足,比较满足,比较满足,比较满足,一般,经常获得,总是获得,总是获得,有时获得,有时获得,C. 效果一般，仅是休闲活动之一,同意,非常同意,非常同意,不同意,一般,同意,非常同意,非常同意,非常同意,一般,B. 每周数次,E. 自我内心的外在投射（自我延伸型）,无,B. 女,B. 全职工作者,A. 一线城市（如北上广深）,B. 2001-5000元
27-30岁,是,D. 501-1000元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋F. 朋友/同好推荐┋G. 其他,非常不同意,一般,不同意,非常不同意,一般,不同意,非常同意,一般,非常不同意,非常不同意,比较满足,毫无满足,一般,一般,一般,总是获得,经常获得,总是获得,总是获得,经常获得,D. 几乎没有调节作用,非常同意,同意,同意,非常同意,非常同意,非常不同意,非常同意,非常同意,同意,一般,C. 每月数次,D. 收藏家完善珍藏系列（价值收藏型）,无,B. 女,B. 全职工作者,B. 新一线/二线城市,B. 2001-5000元
19-22岁,是,C. 301-500元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动┋F. 朋友/同好推荐,一般,一般,一般,非常同意,同意,同意,非常同意,一般,非常同意,不同意,极大满足,极大满足,比较满足,极大满足,一般,有时获得,总是获得,总是获得,从未获得,有时获得,A. 非常有效，是我的主要调节方式之一,同意,一般,非常同意,非常不同意,同意,同意,不同意,一般,一般,非常同意,C. 每月数次,F. 其他,无,B. 女,A. 在校学生,B. 新一线/二线城市,B. 2001-5000元
23-26岁,是,B. 101-300元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动,同意,非常同意,非常不同意,同意,同意,非常同意,同意,非常同意,一般,一般,一般,一般,比较满足,比较满足,比较满足,有时获得,经常获得,经常获得,有时获得,经常获得,C. 效果一般，仅是休闲活动之一,非常同意,一般,同意,一般,非常不同意,同意,同意,非常不同意,非常同意,一般,B. 每周数次,B. 艺术家为作品赋予灵魂（创作表达型）,无,B. 女,A. 在校学生,A. 一线城市（如北上广深）,A. 2000元及以下
23-26岁,是,D. 501-1000元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋D. 娃展、线下活动┋F. 朋友/同好推荐,非常同意,一般,非常不同意,非常同意,一般,一般,一般,一般,不同意,非常不同意,极大满足,极大满足,极大满足,比较满足,一般,有时获得,总是获得,经常获得,有时获得,经常获得,C. 效果一般，仅是休闲活动之一,不同意,一般,非常同意,非常同意,一般,非常同意,非常不同意,不同意,同意,同意,E. 从不参与任何社群,B. 艺术家为作品赋予灵魂（创作表达型）,无,A. 男,A. 在校学生,B. 新一线/二线城市,B. 2001-5000元
19-22岁,是,C. 301-500元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动┋F. 朋友/同好推荐,非常不同意,一般,一般,不同意,一般,同意,一般,一般,一般,一般,一般,极大满足,极大满足,比较满足,极大满足,总是获得,总是获得,有时获得,很少获得,经常获得,A. 非常有效，是我的主要调节方式之一,同意,非常同意,同意,非常同意,一般,非常同意,一般,非常同意,同意,一般,B. 每周数次,E. 自我内心的外在投射（自我延伸型）,无,B. 女,A. 在校学生,B. 新一线/二线城市,B. 2001-5000元
23-26岁,是,C. 301-500元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋F. 朋友/同好推荐┋G. 其他,非常同意,非常同意,一般,非常同意,一般,同意,一般,一般,非常同意,不同意,极大满足,极大满足,极大满足,一般,一般,总是获得,总是获得,经常获得,总是获得,有时获得,B. 比较有效，能一定程度上改善情绪,非常同意,非常同意,非常同意,一般,非常同意,非常同意,一般,非常同意,非常同意,一般,B. 每周数次,D. 收藏家完善珍藏系列（价值收藏型）,无,B. 女,A. 在校学生,A. 一线城市（如北上广深）,A. 2000元及以下
31岁及以上,是,B. 101-300元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动,不同意,同意,不同意,非常同意,不同意,同意,一般,同意,一般,不同意,极大满足,极大满足,极大满足,一般,一般,有时获得,总是获得,经常获得,经常获得,经常获得,B. 比较有效，能一定程度上改善情绪,一般,不同意,一般,非常同意,一般,非常同意,同意,一般,非常同意,一般,C. 每月数次,B. 艺术家为作品赋予灵魂（创作表达型）,无,B. 女,B. 全职工作者,A. 一线城市（如北上广深）,B. 2001-5000元
19-22岁,是,B. 101-300元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动,非常同意,同意,非常同意,一般,不同意,一般,一般,同意,一般,一般,一般,比较满足,比较满足,极大满足,一般,有时获得,总是获得,总是获得,经常获得,总是获得,D. 几乎没有调节作用,同意,同意,非常同意,同意,一般,同意,一般,同意,同意,一般,A. 几乎每天浏览和互动,A. 父母为孩子精心打扮（关爱投射型）,无,B. 女,A. 在校学生,A. 一线城市（如北上广深）,B. 2001-5000元
19-22岁,是,C. 301-500元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋F. 朋友/同好推荐,非常同意,一般,非常同意,一般,一般,一般,非常同意,一般,一般,一般,一般,一般,比较满足,一般,毫无满足,有时获得,总是获得,有时获得,经常获得,有时获得,A. 非常有效，是我的主要调节方式之一,同意,非常同意,一般,一般,一般,一般,同意,同意,非常同意,一般,C. 每月数次,E. 自我内心的外在投射（自我延伸型）,无,B. 女,A. 在校学生,C. 三线及以下城市,B. 2001-5000元
19-22岁,是,C. 301-500元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动┋F. 朋友/同好推荐,同意,不同意,非常同意,同意,不同意,同意,一般,一般,同意,不同意,比较满足,极大满足,一般,比较满足,毫无满足,经常获得,经常获得,总是获得,经常获得,有时获得,C. 效果一般，仅是休闲活动之一,一般,同意,一般,非常同意,一般,同意,非常同意,不同意,非常同意,不同意,A. 几乎每天浏览和互动,E. 自我内心的外在投射（自我延伸型）,无,B. 女,A. 在校学生,A. 一线城市（如北上广深）,A. 2000元及以下
31岁及以上,是,B. 101-300元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动┋F. 朋友/同好推荐,同意,同意,一般,一般,一般,非常同意,非常不同意,一般,同意,非常同意,极大满足,一般,一般,较少满足,一般,总是获得,总是获得,从未获得,总是获得,有时获得,A. 非常有效，是我的主要调节方式之一,非常同意,同意,一般,非常同意,不同意,不同意,非常同意,一般,一般,一般,C. 每月数次,D. 收藏家完善珍藏系列（价值收藏型）,无,B. 女,B. 全职工作者,A. 一线城市（如北上广深）,B. 2001-5000元
27-30岁,是,B. 101-300元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋E. 电商平台算法推荐┋F. 朋友/同好推荐,一般,非常同意,不同意,一般,非常不同意,同意,同意,一般,同意,不同意,比较满足,极大满足,比较满足,比较满足,一般,总是获得,总是获得,经常获得,有时获得,经常获得,B. 比较有效，能一定程度上改善情绪,非常同意,非常同意,一般,非常同意,非常同意,非常同意,非常同意,非常同意,不同意,同意,C. 每月数次,D. 收藏家完善珍藏系列（价值收藏型）,无,A. 男,B. 全职工作者,C. 三线及以下城市,B. 2001-5000元
23-26岁,是,D. 501-1000元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋G. 其他,非常同意,一般,一般,一般,不同意,同意,同意,同意,一般,同意,一般,一般,极大满足,一般,毫无满足,经常获得,总是获得,总是获得,经常获得,经常获得,C. 效果一般，仅是休闲活动之一,同意,同意,非常同意,同意,不同意,非常同意,非常同意,同意,一般,一般,C. 每月数次,E. 自我内心的外在投射（自我延伸型）,无,D. 不愿透露,B. 全职工作者,C. 三线及以下城市,C. 5001-8000元
31岁及以上,是,E. 1000元以上,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋E. 电商平台算法推荐,同意,同意,不同意,非常不同意,同意,同意,一般,一般,非常同意,不同意,极大满足,比较满足,毫无满足,一般,比较满足,有时获得,经常获得,经常获得,很少获得,有时获得,A. 非常有效，是我的主要调节方式之一,同意,同意,一般,一般,同意,非常同意,一般,一般,非常同意,非常同意,B. 每周数次,E. 自我内心的外在投射（自我延伸型）,无,B. 女,B. 全职工作者,A. 一线城市（如北上广深）,C. 5001-8000元
23-26岁,是,D. 501-1000元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋F. 朋友/同好推荐┋G. 其他,同意,一般,一般,一般,同意,同意,非常同意,不同意,一般,同意,较少满足,一般,极大满足,极大满足,一般,经常获得,有时获得,总是获得,总是获得,很少获得,B. 比较有效，能一定程度上改善情绪,非常同意,非常同意,同意,同意,一般,非常同意,非常同意,同意,同意,一般,C. 每月数次,B. 艺术家为作品赋予灵魂（创作表达型）,无,B. 女,B. 全职工作者,A. 一线城市（如北上广深）,C. 5001-8000元
27-30岁,是,E. 1000元以上,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动,非常同意,非常同意,一般,同意,一般,不同意,非常同意,一般,非常同意,一般,极大满足,极大满足,比较满足,比较满足,极大满足,有时获得,总是获得,经常获得,经常获得,有时获得,C. 效果一般，仅是休闲活动之一,非常同意,同意,同意,不同意,同意,非常不同意,非常同意,非常同意,同意,一般,B. 每周数次,E. 自我内心的外在投射（自我延伸型）,无,B. 女,B. 全职工作者,B. 新一线/二线城市,D. 8001-12000元
15-18岁,是,B. 101-300元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋E. 电商平台算法推荐,同意,一般,同意,一般,不同意,同意,同意,非常同意,同意,不同意,极大满足,一般,极大满足,极大满足,极大满足,很少获得,经常获得,总是获得,经常获得,经常获得,C. 效果一般，仅是休闲活动之一,同意,一般,非常同意,非常同意,一般,同意,同意,一般,同意,一般,C. 每月数次,B. 艺术家为作品赋予灵魂（创作表达型）,无,A. 男,A. 在校学生,B. 新一线/二线城市,A. 2000元及以下
23-26岁,是,C. 301-500元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动┋F. 朋友/同好推荐,不同意,非常同意,一般,非常同意,一般,同意,非常同意,同意,非常不同意,非常不同意,比较满足,极大满足,一般,一般,极大满足,总是获得,有时获得,经常获得,经常获得,总是获得,B. 比较有效，能一定程度上改善情绪,同意,非常同意,非常同意,非常同意,非常同意,一般,非常同意,同意,非常同意,非常同意,E. 从不参与任何社群,B. 艺术家为作品赋予灵魂（创作表达型）,无,B. 女,B. 全职工作者,A. 一线城市（如北上广深）,C. 5001-8000元
19-22岁,是,B. 101-300元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋F. 朋友/同好推荐,一般,一般,一般,非常同意,非常不同意,一般,同意,一般,一般,同意,比较满足,一般,一般,一般,比较满足,总是获得,很少获得,总是获得,经常获得,有时获得,A. 非常有效，是我的主要调节方式之一,非常同意,非常同意,一般,同意,一般,同意,同意,非常同意,非常同意,非常同意,D. 很少参与，仅偶尔浏览,B. 艺术家为作品赋予灵魂（创作表达型）,无,B. 女,A. 在校学生,B. 新一线/二线城市,B. 2001-5000元
23-26岁,是,B. 101-300元,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋E. 电商平台算法推荐┋F. 朋友/同好推荐,同意,同意,同意,一般,一般,不同意,同意,非常不同意,非常不同意,同意,比较满足,比较满足,比较满足,比较满足,一般,有时获得,经常获得,总是获得,有时获得,经常获得,B. 比较有效，能一定程度上改善情绪,同意,一般,同意,非常同意,同意,非常同意,不同意,同意,非常同意,非常同意,A. 几乎每天浏览和互动,D. 收藏家完善珍藏系列（价值收藏型）,无,B. 女,A. 在校学生,A. 一线城市（如北上广深）,B. 2001-5000元
23-26岁,是,D. 501-1000元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋E. 电商平台算法推荐┋F. 朋友/同好推荐,不同意,同意,非常同意,非常不同意,一般,同意,同意,一般,非常不同意,非常同意,一般,极大满足,比较满足,一般,一般,总是获得,总是获得,总是获得,经常获得,有时获得,C. 效果一般，仅是休闲活动之一,同意,同意,一般,非常同意,一般,同意,一般,非常同意,同意,非常同意,C. 每月数次,B. 艺术家为作品赋予灵魂（创作表达型）,无,B. 女,A. 在校学生,B. 新一线/二线城市,A. 2000元及以下
23-26岁,是,C. 301-500元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动,同意,同意,不同意,非常同意,同意,不同意,同意,非常不同意,非常同意,不同意,极大满足,比较满足,比较满足,一般,比较满足,经常获得,经常获得,有时获得,很少获得,有时获得,A. 非常有效，是我的主要调节方式之一,非常同意,非常同意,一般,非常同意,一般,不同意,同意,非常同意,非常同意,非常不同意,C. 每月数次,E. 自我内心的外在投射（自我延伸型）,无,A. 男,B. 全职工作者,A. 一线城市（如北上广深）,C. 5001-8000元
19-22岁,是,B. 101-300元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动,同意,非常同意,一般,一般,一般,同意,不同意,不同意,一般,非常不同意,比较满足,极大满足,极大满足,比较满足,一般,有时获得,经常获得,总是获得,总是获得,经常获得,A. 非常有效，是我的主要调节方式之一,同意,同意,非常同意,非常同意,非常同意,一般,同意,非常同意,同意,同意,D. 很少参与，仅偶尔浏览,E. 自我内心的外在投射（自我延伸型）,无,B. 女,A. 在校学生,B. 新一线/二线城市,B. 2001-5000元
19-22岁,是,C. 301-500元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动,同意,非常同意,同意,一般,非常同意,同意,同意,非常同意,一般,一般,比较满足,一般,一般,极大满足,一般,总是获得,经常获得,经常获得,经常获得,有时获得,B. 比较有效，能一定程度上改善情绪,非常同意,非常同意,同意,非常同意,一般,同意,非常同意,非常同意,非常同意,一般,A. 几乎每天浏览和互动,A. 父母为孩子精心打扮（关爱投射型）,无,B. 女,A. 在校学生,B. 新一线/二线城市,B. 2001-5000元
23-26岁,是,B. 101-300元,A. 小红书、微博等社交平台┋B. B站、抖音等视频平台┋C. 娃友社群（QQ群、微信群等）┋E. 电商平台算法推荐,同意,一般,同意,非常不同意,一般,同意,同意,一般,一般,同意,极大满足,极大满足,极大满足,毫无满足,比较满足,总是获得,经常获得,有时获得,很少获得,有时获得,B. 比较有效，能一定程度上改善情绪,非常同意,同意,非常同意,同意,同意,同意,同意,一般,非常同意,非常不同意,B. 每周数次,A. 父母为孩子精心打扮（关爱投射型）,无,B. 女,A. 在校学生,A. 一线城市（如北上广深）,B. 2001-5000元
27-30岁,是,E. 1000元以上,A. 小红书、微博等社交平台┋C. 娃友社群（QQ群、微信群等）┋D. 娃展、线下活动┋F. 朋友/同好推荐,同意,一般,同意,不同意,同意,同意,同意,一般,同意,一般,一般,一般,极大满足,一般,一般,经常获得,经常获得,从未获得,总是获得,经常获得,A. 非常有效，是我的主要调节方式之一,非常同意,同意,非常同意,非常同意,不同意,非常同意,同意,同意,同意,一般,B. 每周数次,E. 自我内心的外在投射（自我延伸型）,无,B. 女,B. 全职工作者,C. 三线及以下城市,D. 8001-12000元
